WORD,COUNT
и,20
в,12
не,8
с,6
из,5
их,5
на,5
под,5
все,4
к,4
два,3
для,3
до,3
его,3
по,3
что,3
csv,2
быть,2
всех,2
говорил,2
данными,2
данных,2
долго,2
ее,2
есть,2
еще,2
записи,2
запятыми,2
значения,2
или,2
как,2
между,2
например,2
никто,2
них,2
но,2
строка,2
уже,2
файла,2
формат,2
часто,2
это,2
comma-separated,1
crm,1
csv-файл,1
csv-формат,1
email-рассылок,1
sms-кампаний,1
values,1
а,1
аббревиатура,1
алеся,1
амбара,1
амбаре,1
базаров,1
базу,1
банки,1
банковских,1
безвозбранно,1
бесчувствия,1
бодрым,1
более,1
бородича,1
бродят,1
будут,1
бухгалтерских,1
был,1
вечер,1
вечности,1
вечностью,1
взаимоотношениями,1
взяли,1
вид,1
внимательно,1
возможность,1
возможных,1
вот,1
вывели,1
выгрузки,1
выписок,1
высокой,1
высшей,1
гниют,1
голов,1
горько,1
давно,1
данные,1
дают,1
два-три,1
две,1
дверьми,1
деревушки,1
деревца,1
деревянные,1
держались,1
должно,1
друг,1
друга,1
другие,1
дряхлых,1
думал,1
духом,1
евгений,1
едва,1
елки,1
ему,1
же,1
железная,1
женою,1
животное,1
жизнь,1
жили,1
за,1
запятой,1
заре,1
заросли,1
знает,1
ивановича,1
идут,1
избит,1
им,1
именно,1
иначе,1
интегрировать,1
информацию,1
использоваться,1
используется,1
каждая,1
каждой,1
каменные,1
камень,1
канавы,1
касается,1
кладбища,1
кладбище,1
клиентами,1
когда,1
когда-то,1
кое-как,1
колени,1
коммерции,1
конвоем,1
конечно,1
конца,1
концам,1
которой,1
которую,1
которым,1
крашеными,1
кресты,1
кроме,1
крышами,1
кстати,1
кто,1
лежит,1
лет,1
лицом,1
людей,1
маркетинговыми,1
мгновение,1
мире,1
многие,1
могилам,1
могиле,1
могут,1
может,1
молодые,1
муж,1
наград,1
наградой,1
названия,1
насколько,1
наши,1
небольшое,1
небытие,1
недалекой,1
нее,1
ней,1
немой,1
немцам,1
ненароком,1
несоразмерна,1
никаких,1
ними,1
ничего,1
ногах,1
о,1
обмен,1
обоим,1
обычно,1
овцы,1
ограда,1
ограде,1
одна,1
одни,1
одной,1
одном,1
окружает,1
окружающие,1
он,1
они,1
оно,1
операций,1
особенности,1
остальных,1
отдаленных,1
отошли,1
отяжелевшею,1
очень,1
ощипанных,1
первая,1
перед,1
передавать,1
печальный,1
платформы,1
плачут,1
плиты,1
погнали,1
подбадривал,1
подготовить,1
поддерживая,1
подталкивает,1
подходит,1
позволяет,1
полей,1
полицая,1
получателей,1
помнит,1
помнить,1
поникли,1
попался,1
посажены,1
построили,1
походкой,1
похоронен,1
почти,1
поют,1
предоставляют,1
при,1
приблизятся,1
применение,1
припадут,1
приходят,1
проведении,1
программами,1
птицы,1
пятнадцать,1
работа,1
разделенные,1
разделены,1
разделители,1
различные,1
различными,1
различных,1
разных,1
расшифровывается,1
реализациях,1
решили,1
рождались,1
россии,1
руки,1
садятся,1
сам,1
самого,1
самой,1
своими,1
сдвинуты,1
себе,1
сельское,1
сельце,1
семерых,1
серые,1
системами,1
систему,1
системы,1
сказал,1
скудную,1
следов,1
словно,1
смотрят,1
снизу,1
содержит,1
соответствует,1
станут,1
старался,1
старичка,1
столбцов,1
существования,1
сферах,1
схватили,1
считали,1
сын,1
табличных,1
табуляция,1
текстовый,1
тень,1
только,1
том,1
топчет,1
тот,1
точка,1
требуется,1
тысячи,1
уберегся,1
уголков,1
удавалось,1
упали,1
управления,1
услышали,1
учетные,1
учитель,1
формате,1
хлопцы,1
хранения,1
человек,1
человеческая,1
чем,1
шестьдесят,1
шоссе,1
экспорт,1
электронной,1
этого,1
этой,1
этом,1
являет,1
